trx_id;trx_date;SKU_CODE;outlet;QtySold;net_sales;CHANNEL;payment_method;product_price
TRX1003017;01/02/2024;SKU044;OUT-009;1;250000;GT;Cash;125000
TRX1002993;01/02/2024;SKU018;OUT-016;5;180000;MT;Credit Card;125000
TRX1001489;01/02/2024;SKU016;OUT-011;3;125000;GT;QRIS;75000
TRX1001908;01/02/2024;SKU012;OUT-013;3;275000;GT;QRIS;35000
TRX1003787;01/02/2024;SKU002;OUT-021;8;275000;MT;Cash;35000
TRX1003057;01/02/2024;SKU028;OUT-003;6;175000;MT;Credit Card;125000
TRX1003459;01/02/2024;SKU025;OUT-011;3;125000;GT;QRIS;55000
TRX1003559;01/02/2024;SKU018;OUT-022;5;125000;GT;Cash;55000
TRX1003451;01/02/2024;SKU037;OUT-007;10;125000;MT;Cash;55000
TRX1002593;01/02/2024;SKU018;OUT-012;2;75000;GT;Cash;125000
TRX1002411;01/02/2024;SKU033;OUT-002;2;100000;GT;Cash;125000
TRX1003346;01/02/2024;SKU003;OUT-008;6;45000;MT;Credit Card;55000
TRX1002677;01/02/2024;SKU017;OUT-025;11;375000;MT;Debit;35000
TRX1003285;01/02/2024;SKU003;OUT-025;10;220000;MT;Credit Card;45000
TRX1001763;01/02/2024;SKU015;OUT-001;2;125000;GT;QRIS;25000
TRX1002368;01/02/2024;SKU012;OUT-021;1;275000;GT;Cash;35000
TRX1001958;01/02/2024;SKU037;OUT-011;5;125000;GT;Cash;125000
TRX1001770;01/02/2024;SKU014;OUT-007;6;140000;MT;QRIS;25000
TRX1002752;01/02/2024;SKU034;OUT-025;2;70000;GT;QRIS;75000
TRX1003520;01/02/2024;SKU019;OUT-003;2;140000;GT;QRIS;125000
TRX1001793;01/02/2024;SKU027;OUT-014;5;50000;GT;QRIS;25000
TRX1003811;01/02/2024;SKU042;OUT-006;12;25000;MT;QRIS;25000
TRX1001989;01/02/2024;SKU031;OUT-015;11;220000;MT;Debit;35000
TRX1003141;01/02/2024;SKU027;OUT-007;4;105000;MT;QRIS;25000
TRX1001533;01/02/2024;SKU038;OUT-001;7;135000;MT;QRIS;45000
TRX1002320;01/02/2024;SKU042;OUT-016;3;225000;MT;Cash;35000
TRX1003884;01/02/2024;SKU013;OUT-017;5;125000;GT;Cash;45000
TRX1003906;01/02/2024;SKU011;OUT-006;3;75000;MT;QRIS;75000
TRX1003260;01/02/2024;SKU005;OUT-015;1;500000;GT;Cash;35000
TRX1002222;01/02/2024;SKU025;OUT-018;4;70000;GT;QRIS;45000
TRX1004049;01/02/2024;SKU030;OUT-012;5;180000;MT;Credit Card;55000
TRX1001212;01/02/2024;SKU001;OUT-010;5;75000;GT;QRIS;55000
